#Drehschieberpumpe Leckratenmessung p_G = 50 mbar
#t[s]	p_1[mbar]	p_2[mbar]	p_3[mbar]
0       50      50      50
10      68.9    69.5    66.8    
20      87.5    86.8    84.5
30      109     108     102
40      135     137     130
50      161     163     155
60      190     189     181
70      221     218     208
80      264     266     246
90      297     302     284
100     342     338     325
110     374     379     369
120     431     435     395
130     502     498     455
140     560     569     526
150     642     649     582
160     710     704     688
170     795     808     740
180     874     880     820
190     945     1000    895
200     1000    1000    965
