#Drehschieberpumpe Leckratenmessung p_G = 100 mbar
#t[s]	p_1[mbar]	p_2[mbar]	p_3[mbar]
0       100     100     100
10      138     156     158
20      186     206     208
30      253     281     291
40      323     349     356
50      397     439     448
60      512     556     577
70      655     683     694
80      788     882     876
90      979     1000    1000
100     1000    1000    1000
110     1000    1000    1000
120     1000    1000    1000
130     1000    1000    1000
140     1000    1000    1000
150     1000    1000    1000
160     1000    1000    1000
170     1000    1000    1000
180     1000    1000    1000
190     1000    1000    1000
200     1000    1000    1000
